img_name,sex,age,height,weight,split
000002_F_18_165100_8482178.jpg,0,18,1.651,84.82178,test
000003_F_18_170180_3991613.jpg,0,18,1.7018,39.91613,train
000003_F_18_170180_7257478.jpg,0,18,1.7018,72.57478,validation
000004_F_22_157480_5606402.jpg,0,22,1.5748,56.06402,train
000004_F_22_157480_6245967.jpg,0,22,1.5748,62.45967,train
000005_F_18_170180_12246995.jpg,0,18,1.7018,122.46995,train
000005_F_18_170180_8618256.jpg,0,18,1.7018,86.18256,validation
000006_F_19_177800_8300740.jpg,0,19,1.778,83.0074,validation
000008_F_19_165100_6486371.jpg,0,19,1.651,64.86371,test
000008_F_19_165100_8663615.jpg,0,19,1.651,86.63615,validation
000010_F_31_160020_13870856.jpg,0,31,1.6002,138.70856,train
000010_F_31_160020_20094143.jpg,0,31,1.6002,200.94143,train
000011_F_19_167640_7257478.jpg,0,19,1.6764,72.57478,test
000011_F_19_167640_9071848.jpg,0,19,1.6764,90.71848,train
000012_F_19_168910_7847149.jpg,0,19,1.6891,78.47149,test
000012_F_19_168910_9525440.jpg,0,19,1.6891,95.2544,train
000013_F_19_170180_8436819.jpg,0,19,1.7018,84.36819,train
000014_F_19_172720_6577090.jpg,0,19,1.7272,65.7709,test
000014_F_19_172720_8845052.jpg,0,19,1.7272,88.45052,train
000015_F_20_154940_4989520.jpg,0,20,1.5494,49.8952,train
000015_F_20_154940_6265335.jpg,0,20,1.5494,62.65335,validation
000016_F_20_154940_5896701.jpg,0,20,1.5494,58.96701,train
000016_F_20_154940_6939964.jpg,0,20,1.5494,69.39964,train
000019_F_20_170180_14016005.jpg,0,20,1.7018,140.16005,train
000020_F_20_172720_7484274.jpg,0,20,1.7272,74.84274,train
000020_F_20_172720_9752237.jpg,0,20,1.7272,97.52237,train
000021_F_28_160020_6214216.jpg,0,28,1.6002,62.14216,test
000021_F_28_160020_7937867.jpg,0,28,1.6002,79.37867,train
000022_F_20_172720_10432625.jpg,0,20,1.7272,104.32625,train
000022_F_20_172720_7801788.jpg,0,20,1.7272,78.01788,test
000023_F_20_175260_7620352.jpg,0,20,1.7526,76.20352,test
000024_F_20_152400_5669905.jpg,0,20,1.524,56.69905,train
000026_F_20_160020_4195730.jpg,0,20,1.6002,41.9573,test
000027_F_21_165100_7672334.jpg,0,21,1.651,76.72334,test
000028_F_20_149860_6214216.jpg,0,20,1.4986,62.14216,train
000029_F_21_152400_5397750.jpg,0,21,1.524,53.9775,train
000029_F_21_152400_6758526.jpg,0,21,1.524,67.58526,train
000030_F_21_154940_5307031.jpg,0,21,1.5494,53.07031,train
000030_F_21_154940_7847149.jpg,0,21,1.5494,78.47149,train
000031_F_21_154940_8073945.jpg,0,21,1.5494,80.73945,train
000032_F_23_165100_6214216.jpg,0,23,1.651,62.14216,train
000032_F_23_165100_8391459.jpg,0,23,1.651,83.91459,train
000033_F_21_180340_10886218.jpg,0,21,1.8034,108.86218,train
000033_F_21_180340_9071848.jpg,0,21,1.8034,90.71848,validation
000034_F_21_180340_10750140.jpg,0,21,1.8034,107.5014,test
000034_F_21_180340_12609869.jpg,0,21,1.8034,126.09869,test
000035_F_21_165100_11929480.jpg,0,21,1.651,119.2948,train
000035_F_21_165100_6713168.jpg,0,21,1.651,67.13168,train
000036_F_21_165100_4354487.jpg,0,21,1.651,43.54487,train
000036_F_21_165100_5987420.jpg,0,21,1.651,59.8742,train
000037_F_21_170180_6803886.jpg,0,21,1.7018,68.03886,train
000038_F_21_172720_7484274.jpg,0,21,1.7272,74.84274,test
000038_F_21_172720_9752237.jpg,0,21,1.7272,97.52237,test
000039_F_21_154940_4535924.jpg,0,21,1.5494,45.35924,train
000039_F_21_154940_7257478.jpg,0,21,1.5494,72.57478,train
000040_F_21_160020_5942060.jpg,0,21,1.6002,59.4206,train
000040_F_21_160020_7076040.jpg,0,21,1.6002,70.7604,train
000041_F_21_160020_5760623.jpg,0,21,1.6002,57.60623,train
000041_F_21_160020_7801788.jpg,0,21,1.6002,78.01788,test
000042_F_21_162560_11339810.jpg,0,21,1.6256,113.3981,validation
000042_F_21_162560_13154180.jpg,0,21,1.6256,131.5418,train
000043_F_21_167640_6803886.jpg,0,21,1.6764,68.03886,test
000044_F_21_167640_5715264.jpg,0,21,1.6764,57.15264,train
000045_F_21_170180_6758526.jpg,0,21,1.7018,67.58526,test
000046_F_21_172720_7574993.jpg,0,21,1.7272,75.74993,train
000046_F_21_172720_8799693.jpg,0,21,1.7272,87.99693,train
000047_F_21_185420_8346100.jpg,0,21,1.8542,83.461,train
000047_F_21_185420_9525440.jpg,0,21,1.8542,95.2544,validation
000048_F_21_185420_8255382.jpg,0,21,1.8542,82.55382,validation
000048_F_21_185420_9979033.jpg,0,21,1.8542,99.79033,train
000049_F_22_149860_12927383.jpg,0,22,1.4986,129.27383,test
000049_F_22_149860_8935770.jpg,0,22,1.4986,89.3577,train
000050_F_22_142240_11793402.jpg,0,22,1.4224,117.93402,train
000050_F_22_142240_8845052.jpg,0,22,1.4224,88.45052,test
000051_F_22_152400_7302838.jpg,0,22,1.524,73.02838,validation
000052_F_23_157480_6214216.jpg,0,23,1.5748,62.14216,train
000053_F_22_180340_10886218.jpg,0,22,1.8034,108.86218,test
000053_F_22_180340_8618256.jpg,0,22,1.8034,86.18256,train
000054_F_22_157480_5851342.jpg,0,22,1.5748,58.51342,train
000054_F_22_157480_6803886.jpg,0,22,1.5748,68.03886,train
000055_F_22_160020_5760623.jpg,0,22,1.6002,57.60623,test
000055_F_22_160020_7756430.jpg,0,22,1.6002,77.5643,train
000057_F_22_172720_14061364.jpg,0,22,1.7272,140.61364,validation
000057_F_22_172720_7166759.jpg,0,22,1.7272,71.66759,train
000058_F_22_162560_8618256.jpg,0,22,1.6256,86.18256,train
000059_F_23_144780_11804742.jpg,0,23,1.4478,118.04742,train
000060_F_23_144780_11804969.jpg,0,23,1.4478,118.04969,train
000061_F_23_149860_5805983.jpg,0,23,1.4986,58.05983,train
